aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,created_at,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,aeloss_epoch,discloss_epoch
4972.44775390625,4972.44775390625,0.0,103062.015625,4972.3447265625,0.1011626124382019,5000.0,0.0,-0.6637123227119446,0.0,0.0,0.668728768825531,0.6563553810119629,114,2024-09-12 06:26:00.907947,,,,,,,,,,,,,
5473.2900390625,5473.2900390625,0.0,73421.046875,5473.216796875,0.11135288327932358,5000.0,0.0,-0.7398251891136169,0.0,0.0,0.7410182952880859,0.7347143888473511,114,2024-09-12 06:26:52.766298,,,,,,,,,,,,,
,,,,,,,,,,,,,114,2024-09-12 06:27:19.097252,0.11902186274528503,5850.25048828125,0.0,87131.5078125,5850.16064453125,0.0,0.0,-0.6331457495689392,0.0,0.6508134007453918,0.6331457495689392,,
,,,,,,,,,,,,,114,2024-09-12 06:27:19.988521,,,,,,,,,,,,5788.86962890625,0.0
7769.73291015625,7769.73291015625,0.0,64856.2421875,7769.66796875,0.1580743044614792,5000.0,0.0,-0.6675306558609009,0.0,0.0,0.6518054604530334,0.6633277535438538,115,2024-09-12 06:28:01.099447,,,,,,,,,,,,,
6152.94677734375,6152.94677734375,0.0,82292.96875,6152.8642578125,0.12518034875392914,5000.0,0.0,-0.6682727336883545,0.0,0.0,0.6686099171638489,0.6672644019126892,115,2024-09-12 06:28:52.759636,,,,,,,,,,,,,
6310.56494140625,6310.56494140625,0.0,101087.8125,6310.4638671875,0.1283867210149765,5000.0,0.0,-0.6745625734329224,0.0,0.0,0.6724771857261658,0.6711898446083069,115,2024-09-12 06:29:43.586879,,,,,,,,,,,,,
5492.23388671875,5492.23388671875,0.0,69643.3984375,5492.1640625,0.11173836886882782,5000.0,0.0,-0.67818683385849,0.0,0.0,0.6795575618743896,0.6750791072845459,115,2024-09-12 06:30:35.298671,,,,,,,,,,,,,
4913.943359375,4913.943359375,0.0,91994.3671875,4913.8515625,0.09997256845235825,5000.0,0.0,-0.6957296133041382,0.0,0.0,0.6898486614227295,0.6924141049385071,115,2024-09-12 06:31:25.921504,,,,,,,,,,,,,
,,,,,,,,,,,,,115,2024-09-12 06:31:47.230729,0.1188221126794815,5840.4296875,0.0,85679.359375,5840.34521484375,0.0,0.0,-0.6497675180435181,0.0,0.6965546607971191,0.6497675180435181,,
,,,,,,,,,,,,,115,2024-09-12 06:31:48.081258,,,,,,,,,,,,5838.26904296875,0.0
6116.95654296875,6116.95654296875,0.0,110803.1796875,6116.845703125,0.1244475468993187,5000.0,0.0,-0.6988810300827026,0.0,0.0,0.7077445983886719,0.7022013664245605,116,2024-09-12 06:32:35.293091,,,,,,,,,,,,,
5391.61328125,5391.61328125,0.0,96825.328125,5391.5166015625,0.10969068855047226,5000.0,0.0,-0.6927213072776794,0.0,0.0,0.703463613986969,0.6968175768852234,116,2024-09-12 06:33:25.935589,,,,,,,,,,,,,
6621.05078125,6621.05078125,0.0,65786.8828125,6620.98486328125,0.13470429182052612,5000.0,0.0,-0.6939371824264526,0.0,0.0,0.6987754702568054,0.6910790801048279,116,2024-09-12 06:34:17.730824,,,,,,,,,,,,,
7419.81494140625,7419.81494140625,0.0,75472.8125,7419.7392578125,0.1509549915790558,5000.0,0.0,-0.6834918856620789,0.0,0.0,0.6733170747756958,0.6806051731109619,116,2024-09-12 06:35:08.632263,,,,,,,,,,,,,
,,,,,,,,,,,,,116,2024-09-12 06:36:14.638766,0.12285789102315903,6038.7919921875,0.0,82929.765625,6038.7099609375,0.0,0.0,-0.8814043998718262,0.0,0.9035043120384216,0.8814043998718262,,
,,,,,,,,,,,,,116,2024-09-12 06:36:15.494357,,,,,,,,,,,,5829.3447265625,0.0
5628.12109375,5628.12109375,0.0,94612.6171875,5628.0263671875,0.11450248956680298,5000.0,0.0,-0.6806000471115112,0.0,0.0,0.689161479473114,0.6822395920753479,117,2024-09-12 06:36:17.976873,,,,,,,,,,,,,
5032.3046875,5032.3046875,0.0,117020.0,5032.1875,0.10238011926412582,5000.0,0.0,-0.6477518081665039,0.0,0.0,0.6446260809898376,0.6482542157173157,117,2024-09-12 06:37:08.665460,,,,,,,,,,,,,
5948.23681640625,5948.23681640625,0.0,80754.5,5948.15625,0.12101554870605469,5000.0,0.0,-0.6789276003837585,0.0,0.0,0.6722493171691895,0.6726430058479309,117,2024-09-12 06:38:00.293431,,,,,,,,,,,,,
7053.12646484375,7053.12646484375,0.0,86211.6875,7053.0400390625,0.14349447190761566,5000.0,0.0,-0.648435115814209,0.0,0.0,0.6460802555084229,0.6465473175048828,117,2024-09-12 06:38:51.222245,,,,,,,,,,,,,
5482.86865234375,5482.86865234375,0.0,87458.078125,5482.78125,0.11154747009277344,5000.0,0.0,-0.7077493071556091,0.0,0.0,0.7082003355026245,0.7136264443397522,117,2024-09-12 06:39:42.901241,,,,,,,,,,,,,
,,,,,,,,,,,,,117,2024-09-12 06:40:41.929637,0.12526185810565948,6156.958984375,0.0,86890.21875,6156.8720703125,0.0,0.0,-0.6220653653144836,0.0,0.7194675803184509,0.6220653653144836,,
,,,,,,,,,,,,,117,2024-09-12 06:40:42.794093,,,,,,,,,,,,5871.5703125,0.0
5154.74560546875,5154.74560546875,0.0,109481.125,5154.63623046875,0.10487134754657745,5000.0,0.0,-0.6206813454627991,0.0,0.0,0.6193435788154602,0.6258797645568848,118,2024-09-12 06:40:51.419871,,,,,,,,,,,,,
5006.93359375,5006.93359375,0.0,77879.109375,5006.85595703125,0.10186474770307541,5000.0,0.0,-0.6476631760597229,0.0,0.0,0.6442190408706665,0.6462793350219727,118,2024-09-12 06:41:43.073079,,,,,,,,,,,,,
5897.08740234375,5897.08740234375,0.0,83034.8125,5897.00439453125,0.11997486650943756,5000.0,0.0,-0.6877614259719849,0.0,0.0,0.6890504360198975,0.6884479522705078,118,2024-09-12 06:42:33.972612,,,,,,,,,,,,,
6060.02197265625,6060.02197265625,0.0,101714.8828125,6059.92041015625,0.12328939884901047,5000.0,0.0,-0.6971729397773743,0.0,0.0,0.6917821764945984,0.6974884867668152,118,2024-09-12 06:43:25.638645,,,,,,,,,,,,,
7487.44677734375,7487.44677734375,0.0,72972.15625,7487.3740234375,0.15233102440834045,5000.0,0.0,-0.696784257888794,0.0,0.0,0.6879947781562805,0.6913490295410156,118,2024-09-12 06:44:16.532402,,,,,,,,,,,,,
,,,,,,,,,,,,,118,2024-09-12 06:45:10.284415,0.11893202364444733,5845.8330078125,0.0,86555.1875,5845.74658203125,0.0,0.0,-0.8318438529968262,0.0,0.856397807598114,0.8318438529968262,,
,,,,,,,,,,,,,118,2024-09-12 06:45:11.114193,,,,,,,,,,,,5915.9970703125,0.0
5747.87939453125,5747.87939453125,0.0,107723.15625,5747.771484375,0.11693871021270752,5000.0,0.0,-0.648242175579071,0.0,0.0,0.658089280128479,0.6532911062240601,119,2024-09-12 06:45:25.702688,,,,,,,,,,,,,
6586.599609375,6586.599609375,0.0,84943.0625,6586.5146484375,0.13400298357009888,5000.0,0.0,-0.6847977042198181,0.0,0.0,0.6841673254966736,0.687123715877533,119,2024-09-12 06:46:16.555177,,,,,,,,,,,,,
